lact mact group speed pexp phalf pintmean pintmedian
 1165 67 1 0.1758245 NA 3779.902 NA NA
 1165 67 2 0.1750167 NA 2801.255 NA NA
 1165 67 3 0.1754402 NA 3605.973 NA NA
 1165 67 4 0.1755744 NA 2831.943 NA NA
 1165 67 5 0.1763523 NA 1303.288 NA NA
 1165 67 6 0.1739006 NA 4338.191 NA NA
 1165 45 1 0.2059816       NA 945.0704 NA NA
 1165 45 2 0.2071155 1147.450 528.5443 NA NA
 1165 45 3 0.2079689 1573.176 822.6288 NA NA
 1165 45 4 0.2047742 1222.635 615.8028 NA NA
 1165 45 5 0.2080528 1677.474 729.5650 NA NA
 1165 45 6 0.2085349 1346.639 601.7655 NA NA
 1165 37 1 0.2213599 413.2052 194.8740 NA NA
 1165 37 2 0.2219301 536.4809 298.7769 NA NA
 1165 37 3 0.2224436 772.1275 280.3255 NA NA
 1165 37 4 0.2245358 643.5066 312.8437 NA NA
 1165 37 5 0.2224730 578.7927 269.9184 NA NA
 1165 37 6 0.2207664 457.5959 247.7901 NA NA
 1165 55 1 0.1915167 1696.572 1105.0115 NA NA
 1165 55 2 0.1919560 1426.664  763.8624 NA NA
 1165 55 3 0.1913619 3200.179 1967.7709 NA NA
 1165 55 4 0.1921513 2688.738 1297.8466 NA NA
 1165 55 5 0.1911311 1810.678 1179.8964 NA NA
 1165 55 6 0.1924693 2052.746  855.0160 NA NA
 863 50 1 0.1861214 2645.378 1451.318 NA NA
 863 50 2 0.1864528       NA 2779.354 NA NA
 863 50 3 0.1859391 1843.602 1273.610 NA NA
 863 50 4 0.1852216       NA 2744.903 NA NA
 863 50 5 0.1870225       NA 1493.590 NA NA
 863 50 6 0.1848299 2232.316 1094.885 NA NA
 1165 41 1 0.2162317 1351.8512 484.5135 NA NA
 1165 41 2 0.2180675 1292.1995 583.8380 NA NA
 1165 41 3 0.2176046  671.5484 369.4968 NA NA
 1165 41 4 0.2139664  965.0482 500.2004 NA NA
 1165 41 5 0.2163582  716.7256 381.4773 NA NA
 1165 41 6 0.2134821        NA 495.3416 NA NA
 1165 61 1 0.1820253 NA 2842.130 NA NA
 1165 61 2 0.1829426 NA 1632.394 NA NA
 1165 61 3 0.1834822 NA 2113.180 NA NA
 1165 61 4 0.1816309 NA 2210.275 NA NA
 1165 61 5 0.1805302 NA 2228.366 NA NA
 1165 61 6 0.1831778 NA       NA NA NA
 1165 50 1 0.1986460 2119.633  977.7699 NA NA
 1165 50 2 0.1989937 1110.889  552.6331 NA NA
 1165 50 3 0.2000752 1590.632 1011.6530 NA NA
 1165 50 4 0.2003784 1254.424  668.7798 NA NA
 1165 50 5 0.1992025 1684.674  951.5061 NA NA
 1165 50 6 0.2011576 1439.334  815.1450 NA NA
 954 50 1 0.1895380       NA 2506.5291 NA NA
 954 50 2 0.1910469       NA 1152.6783 NA NA
 954 50 3 0.1892562 2128.620 1142.4487 NA NA
 954 50 4 0.1903178 1199.004  771.8300 NA NA
 954 50 5 0.1902757       NA 1965.1055 NA NA
 954 50 6 0.1902378 1219.269  786.3597 NA NA
 1288 50 1 0.2028573 1176.203  542.2998 NA NA
 1288 50 2 0.2045805 1472.252  717.8554 NA NA
 1288 50 3 0.2054582 1345.837  765.0729 NA NA
 1288 50 4 0.2035574 1468.463  801.5020 NA NA
 1288 50 5 0.2027414 1960.734 1044.6103 NA NA
 1288 50 6 0.2037005 1875.240  946.7221 NA NA
 1573 50 1 0.2150178 1523.2672  817.12173 NA NA
 1573 50 2 0.2158219        NA   53.22517 NA NA
 1573 50 3 0.2151673 1247.4765  583.34693 NA NA
 1573 50 4 0.2149849        NA 1022.42761 NA NA
 1573 50 5 0.2192234  722.6001   18.75035 NA NA
 1573 50 6 0.2161739  908.6397  356.52157 NA NA
 1054 50 1 0.1950997 2055.760  765.9825 NA NA
 1054 50 2 0.1715377       NA 2044.5071 NA NA
 1054 50 3 0.1931500 2573.547 1345.5011 NA NA
 1054 50 4 0.1938491 2107.122 1281.5029 NA NA
 1054 50 5 0.1937193       NA  695.8386 NA NA
 1054 50 6 0.1954769 1391.780  729.9838 NA NA
 1423 50 1 0.2123176 1185.4130 566.8375 NA NA
 1423 50 2 0.2083311  992.9322 487.0842 NA NA
 1423 50 3 0.2094558 1070.1887 623.7019 NA NA
 1423 50 4 0.2088335 1754.8304 555.1294 NA NA
 1423 50 5 0.2119326 1168.4945 567.9730 NA NA
 1423 50 6 0.2109714 1392.8842 605.5726 NA NA
