lact mact group speed pexp phalf pintmean pintmedian
 5 5 1 0.03279201        NA 6.984310 NA NA
 5 5 2 0.03269816 1.2414397 7.156890 NA NA
 5 5 3 0.03308417 1.0350863 6.968695 NA NA
 5 5 4 0.03272308 0.9766161 6.964052 NA NA
 5 5 5 0.03305203 0.9757290 7.024163 NA NA
 5 5 6 0.03329015 1.1238701 7.076642 NA NA
 1185 50 1 0.2023395 1246.583  702.2292 NA NA
 1185 50 2 0.1986909 1454.070  895.5538 NA NA
 1185 50 3 0.1990853 1454.718  888.8749 NA NA
 1185 50 4 0.1997731       NA 1099.7168 NA NA
 1185 50 5 0.1996112 1552.476  704.6073 NA NA
 1185 50 6 0.2012250       NA  714.5855 NA NA
 30 110 1 0.04528955 278.2190 35.00276 NA NA
 30 110 2 0.04668392 277.9746 59.39630 NA NA
 30 110 3 0.04597875 271.0892 49.71458 NA NA
 30 110 4 0.04599040 263.7426 56.32322 NA NA
 30 110 5 0.04607080 235.2040 48.01419 NA NA
 30 110 6 0.04404034 220.0497 28.79943 NA NA
 17 50 1 0.03359180 2.085298 8.021388 NA NA
 17 50 2 0.03339315 2.027008 7.993084 NA NA
 17 50 3 0.03336262 2.094382 7.994641 NA NA
 17 50 4 0.03353573 2.212442 8.125623 NA NA
 17 50 5 0.03321721 2.242675 8.119967 NA NA
 17 50 6 0.03375451 2.361668 8.330349 NA NA
 150 70 1 0.1149607       NA       NA NA NA
 150 70 2 0.1140142       NA 5378.483 NA NA
 150 70 3 0.1148941 3451.737 2190.612 NA NA
 150 70 4 0.1145926 2929.742 1923.237 NA NA
 150 70 5 0.1141854       NA 2758.798 NA NA
 150 70 6 0.1142955       NA 4195.566 NA NA
